Iterasi,Fitness,Heavy_Total,Light_Total,Feasible,Runtime_s
25,0.00000089,1121,1255,False,280.79
50,0.00000089,1121,1255,False,557.43
75,0.00000089,1121,1255,False,838.29
100,0.00000089,1118,1226,False,1113.73
125,0.00000090,1115,1227,False,1388.33
150,0.00000090,1115,1227,False,1663.85
175,0.00000090,1115,1227,False,1937.78
200,0.00000090,1115,1227,False,2210.48
225,0.00000090,1115,1227,False,2484.28
250,0.00000090,1115,1227,False,2757.76
275,0.00000090,1115,1227,False,3031.16
300,0.00000090,1114,1214,False,3304.71
